chave,label_pt,escopo,tipos_uso,tipos_imovel,subtipos_imovel,descricao,categoria_ui,subcategoria_ui,ordem,ativo,sinonimos,observacoes,chave_normalizada
ACADEMIA,Academia,EMPREENDIMENTO,RESIDENCIAL|COMERCIAL,,,Academia (empreendimento),Lazer,Esporte,10,true,academia,,ACADEMIA
ACEITA_ANIMAIS,Aceita animais,IMOVEL,RESIDENCIAL,,,Aceita animais (imovel),Lifestyle,Pets,20,true,aceita animais,,ACEITA_ANIMAIS
ACESSO_PCD,Acesso para deficientes,IMOVEL|EMPREENDIMENTO,RESIDENCIAL|COMERCIAL,Acesso para deficientes (imovel|empreendimento),Infraestrutura,Operação,30,true,acesso para deficientes,,ACESSO_PCD
AMBIENTES_INTEGRADOS,Ambientes integrados,IMOVEL,RESIDENCIAL|COMERCIAL,Ambientes integrados (imovel),Imóvel,Comercial,40,true,ambientes integrados,,AMBIENTES_INTEGRADOS
ANDAR_INTEIRO,Andar inteiro,IMOVEL,RESIDENCIAL|COMERCIAL,Andar inteiro (imovel),Imóvel,Comercial,50,true,andar inteiro,,ANDAR_INTEIRO
AQUARIO,Aquário,IMOVEL|EMPREENDIMENTO,RESIDENCIAL,Aquário (imovel|empreendimento),Ambiente,Natureza e vista,60,true,aquário,,AQUARIO
AR_CONDICIONADO,Ar-condicionado,IMOVEL|EMPREENDIMENTO,RESIDENCIAL|COMERCIAL,Ar-condicionado (imovel|empreendimento),Geral,Outros,70,true,ar-condicionado,,AR_CONDICIONADO
AREA_LAZER,Área de lazer,EMPREENDIMENTO,RESIDENCIAL,Área de lazer (empreendimento),Empreendimento,Residencial,80,true,área de lazer,,AREA_LAZER
AREA_SERVICO,Área de serviço,IMOVEL,RESIDENCIAL|COMERCIAL,Área de serviço (imovel),Imóvel,Ambientes,90,true,área de serviço,,AREA_SERVICO
ARMARIO_QUARTO,Armário embutido no quarto,IMOVEL,RESIDENCIAL,Armário embutido no quarto (imovel),Imóvel,Acabamentos e conforto,100,true,armário embutido no quarto,,ARMARIO_QUARTO
ARMARIO_COZINHA,Armário na cozinha,IMOVEL,RESIDENCIAL,Armário na cozinha (imovel),Imóvel,Acabamentos e conforto,110,true,armário na cozinha,,ARMARIO_COZINHA
ARMARIO_BANHEIRO,Armário no banheiro,IMOVEL,RESIDENCIAL|COMERCIAL,Armário no banheiro (imovel),Imóvel,Acabamentos e conforto,120,true,armário no banheiro,,ARMARIO_BANHEIRO
ARVORE_FRUTIFERA,Árvore frutífera,EMPREENDIMENTO,RESIDENCIAL,Árvore frutífera (empreendimento),Ambiente,Natureza e vista,130,true,árvore frutífera,,ARVORE_FRUTIFERA
ARVORISMO,Arvorismo,EMPREENDIMENTO,RESIDENCIAL,Arvorismo (empreendimento),Ambiente,Natureza e vista,140,true,arvorismo,,ARVORISMO
BANHEIRA,Banheira,IMOVEL|EMPREENDIMENTO,RESIDENCIAL,Banheira (imovel|empreendimento),Imóvel,Acabamentos e conforto,150,true,banheira,,BANHEIRA
BANHEIRO_SERVICO,Banheiro de serviço,IMOVEL|EMPREENDIMENTO,RESIDENCIAL|COMERCIAL,Banheiro de serviço (imovel|empreendimento),Imóvel,Ambientes,160,true,banheiro de serviço,,BANHEIRO_SERVICO
BAR,Bar,IMOVEL|EMPREENDIMENTO,RESIDENCIAL,Bar (imovel|empreendimento),Geral,Outros,170,true,bar,,BAR
BAR_PISCINA,Bar na piscina,IMOVEL|EMPREENDIMENTO,RESIDENCIAL,Bar na piscina (imovel|empreendimento),Lazer,Água e bem-estar,180,true,bar na piscina,,BAR_PISCINA
